IdRup;Rup;OficinaId;CoordenadaX;CoordenadaY;Huso;Latitud;Longitud;PesoContagio;PesoMasaEntrada;PesoMasaSalida;NivelVigilancia;ProtocoloLab;CantidadNegativosLab;CantidadPositivosLab;ProtocoloPc;CantidadNegativosPc;CantidadPositivosPc;TodosNegativosLab;AlMenosUnPositivoLab;TodosNegativosPc;AlMenosUnPositivoPc;CodigoTERubro;RiesgoMovimiento;TextoRiesgoMovimiento;PREDICCION
34474;04.2.01.0257;14;286746;6488376;19;-31.720186241958135;-71.25065316644525;5;1;1;3;164645;4;0;204749;196;0;0;0;1;0;12;S/I;S/I;1
99954;04.2.01.0493;14;315205;6504847;19;-31.576614579158655;-70.94736054978758;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
324621;04.2.01.1093;14;309078;6520115;19;-31.437944009581482;-71.00894540837545;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
358562;04.2.01.1311;14;309837;6518864;18;-31.44934934118999;-77.0012029226003;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
132971;04.2.02.0301;14;261036;6520059;19;-31.429528417872056;-71.51410068237715;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
357097;04.2.02.0744;14;260906;6501263;18;-31.598924251261927;-77.5200127721887;5;1;1;3;166203;13;0;0;0;0;1;0;0;0;12;S/I;S/I;1
21936;04.2.03.0009;14;263977;6436972;19;-32.179038056010114;-71.50330860976597;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
59074;04.2.03.0025;14;295866;6448411;19;-32.08215453509205;-71.16287475949119;5;3;1;3;0;0;0;191031;60;0;0;0;1;0;12;S/I;S/I;1
46463;04.2.03.0027;14;276558;6442346;19;-32.133167582452614;-71.36871859644597;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
335500;04.2.03.0435;14;282511;6459625;19;-31.97857240678791;-71.30174982407347;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
200172;04.2.04.1209;14;322149;6489811;19;-31.713295112547154;-70.87694211634226;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
343446;04.2.02.0670;14;267395;6503759;19;-31.577755577181954;-71.45108440106462;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
188072;04.2.04.1188;14;319360;6476808;19;-31.830108111022177;-70.9087687441807;5;1;1;2;164855;5;0;0;0;0;1;0;0;0;12;S/I;S/I;3
132980;04.2.04.1061;14;331859;6468593;19;-31.906100579143363;-70.77817413540514;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
337331;04.3.03.0683;13;347213;6590581;19;-30.80803919608065;-70.59714298661564;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
332588;04.3.04.0422;13;286147;6583851;19;-30.85928550274562;-71.23654557425724;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
342416;04.3.05.0237;13;322731;6637475;19;-30.381692782008155;-70.84492569910675;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
82775;04.2.04.0279;14;310059;6480550;19;-31.79485626722651;-71.00626962471885;5;1;1;3;188993;46;0;192664;69;0;0;0;1;0;12;S/I;S/I;1
333627;04.2.04.1398;14;346069;6468987;19;-31.904561189096654;-70.62788807043735;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
43397;04.1.05.0053;12;357087;6658497;19;-30.196609455013796;-70.48461970987574;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
353073;04.3.03.0769;13;340615;6566948;19;-31.020329030429195;-70.66978889893339;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
329442;04.2.04.1372;14;347660;6465501;19;-31.936213542924136;-70.61161651392536;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
52594;04.2.04.0013;14;339305;6499024;19;-31.632746014395124;-70.69444857166945;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
61684;04.2.04.0650;14;347892;6464911;19;-31.9415654730552;-70.60925573094784;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
67924;04.2.04.0187;14;341310;6469334;19;-31.900777336900553;-70.678141607644;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
29933;04.2.04.0155;14;348163;6463816;19;-31.951476839450756;-70.60656146615608;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
44455;04.2.04.0128;14;347895;6465021;19;-31.940573859187268;-70.60920671167666;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
17543;04.2.04.0189;14;347793;6465167;19;-31.939243507693906;-70.61026250031254;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
70134;04.2.04.0209;14;348140;6464337;19;-31.94677521236794;-70.60672294649348;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
14684;04.2.04.0062;14;345530;6469606;19;-31.898905739424634;-70.6334876347669;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
14680;04.2.04.0028;14;346242;6469858;19;-31.89672966178955;-70.62592102735229;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
22247;04.2.01.0254;14;294423;6520756;19;-31.429654397493852;-71.16292735856109;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
93173;04.2.01.0054;14;305801;6503831;19;-31.584227374458298;-71.04660714418972;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
17213;04.2.01.0061;14;308402;6504539;19;-31.57827949941449;-71.01907286861744;5;0;1;3;164677;6;0;0;0;0;1;0;0;0;12;S/I;S/I;1
42452;04.2.01.0099;14;319396;6505467;19;-31.571689001688245;-70.90310337579919;5;1;1;1;191939;40;0;0;0;0;1;0;0;0;12;S/I;S/I;4
30723;04.2.01.0161;14;326236;6509186;19;-31.5392044613412;-70.83040413644888;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
17535;04.2.01.0094;14;317766;6504882;19;-31.57670728277561;-70.92037938974126;5;1;1;2;173769;6;0;0;0;0;1;0;0;0;12;S/I;S/I;3
102462;04.2.01.0590;14;297689;6499029;19;-31.626125194485805;-71.13303493470745;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
